id,name,slug,province_id
1000001,اراک,اراک,100
1000002,آشتیان,آشتیان,100
1000003,تفرش,تفرش,100
1000004,خمین,خمین,100
1000005,دلیجان,دلیجان,100
1000006,ساوه,ساوه,100
1000007,شازند,شازند,100
1000009,محلات,محلات,100
1010001,آستارا,آستارا,101
1010002,آستانه اشرفیه,آستانه-اشرفیه,101
1010003,بندرانزلی,بندرانزلی,101
1010004,طوالش,طوالش,101
1010005,رشت,رشت,101
1010006,رودبار,رودبار,101
1010007,رودسر,رودسر,101
1010008,صومعه سرا,صومعه-سرا,101
1010009,فومن,فومن,101
1020001,آمل,آمل,102
1020002,بابل,بابل,102
1020004,بهشهر,بهشهر,102
1020005,تنکابن,تنکابن,102
1020006,رامسر,رامسر,102
1020007,ساری,ساری,102
1020008,سوادکوه,سوادکوه,102
1030002,اهر,اهر,103
1030003,تبریز,تبریز,103
1030005,سراب,سراب,103
1030006,مراغه,مراغه,103
1030007,مرند,مرند,103
1040001,ارومیه,ارومیه,104
1040002,پیرانشهر,پیرانشهر,104
1040003,خوی,خوی,104
1040004,سردشت,سردشت,104
1040005,سلماس,سلماس,104
1040006,ماکو,ماکو,104
1040007,مهاباد,مهاباد,104
1040008,میاندوآب,میاندوآب,104
1040009,نقده,نقده,104
1050001,اسلام آبادغرب,اسلام-آبادغرب,105
1050002,کرمانشاه,کرمانشاه,105
1050003,پاوه,پاوه,105
1050004,سرپل ذهاب,سرپل-ذهاب,105
1050005,سنقر,سنقر,105
1050006,قصرشیرین,قصرشیرین,105
1050007,کنگاور,کنگاور,105
1050008,گیلانغرب,گیلانغرب,105
1050009,جوانرود,جوانرود,105
1060001,آبادان,آبادان,106
1060002,اندیمشک,اندیمشک,106
1060003,اهواز,اهواز,106
1060004,ایذه,ایذه,106
1060005,بندرماهشهر,بندرماهشهر,106
1060006,بهبهان,بهبهان,106
1060007,خرمشهر,خرمشهر,106
1060008,دزفول,دزفول,106
1060009,دشت آزادگان,دشت-آزادگان,106
1070001,آباده,آباده,107
1070002,استهبان,استهبان,107
1070003,اقلید,اقلید,107
1070004,جهرم,جهرم,107
1070005,داراب,داراب,107
1070006,سپیدان,سپیدان,107
1070007,شیراز,شیراز,107
1070008,فسا,فسا,107
1070009,فیروزآباد,فیروزآباد,107
1080001,بافت,بافت,108
1080002,بم,بم,108
1080003,جیرفت,جیرفت,108
1080004,رفسنجان,رفسنجان,108
1080005,زرند,زرند,108
1080006,سیرجان,سیرجان,108
1080007,شهربابک,شهربابک,108
1080008,کرمان,کرمان,108
1080009,کهنوج,کهنوج,108
1090004,تایباد,تایباد,109
1090005,تربت حیدریه,تربت-حیدریه,109
1090006,تربت جام,تربت-جام,109
1090007,درگز,درگز,109
1090008,سبزوار,سبزوار,109
1100001,اردستان,اردستان,110
1100002,اصفهان,اصفهان,110
1100003,خمینی شهر,خمینی-شهر,110
1100004,خوانسار,خوانسار,110
1100005,سمیرم,سمیرم,110
1100006,فریدن,فریدن,110
1100007,فریدونشهر,فریدونشهر,110
