id,name,slug,tel_prefix
1000000024,آذربایجان شرقی,آذربایجان-شرقی,041
1000000032,آذربایجان غربی,آذربایجان-غربی,044
1000000040,اصفهان,اصفهان,031
1000000057,خراسان رضوی,خراسان-رضوی,051
1000000065,خوزستان,خوزستان,061
1000000073,فارس,فارس,071
1000000081,کرمان,کرمان,034
1000000099,کرمانشاه,کرمانشاه,083
1000000107,گیلان,گیلان,013
1000000115,مازندران,مازندران,011
1000000123,مرکزی,مرکزی,086
1000000131,سیستان و بلوچستان,سیستان-و-بلوچستان,054
1000000149,کردستان,کردستان,087
1000000156,هرمزگان,هرمزگان,076
1000000164,بوشهر,بوشهر,077
1000000172,چهارمحال و بختیاری,چهارمحال-و-بختیاری,038
1000000180,زنجان,زنجان,024
1000000198,لرستان,لرستان,066
1000000206,همدان,همدان,081
1000000214,یزد,یزد,035
1000000222,ایلام,ایلام,084
1000000230,سمنان,سمنان,023
1000000248,کهگیلویه و بویراحمد,کهگیلویه-و-بویراحمد,074
1000000255,تهران,تهران,021
1000000263,اردبیل,اردبیل,045
1000000271,قم,قم,025
1000000289,قزوین,قزوین,028
1000000297,گلستان,گلستان,017
1000000305,خراسان جنوبی,خراسان-جنوبی,056
1000000313,خراسان شمالی,خراسان-شمالی,058
1000000321,البرز,البرز,026
