id,name,slug,tel_prefix,type
100,مرکزی,مرکزی,086,province
101,گیلان,گیلان,013,province
102,مازندران,مازندران,011,province
103,آذربایجان شرقی,آذربایجان-شرقی,041,province
104,آذربایجان غربی,آذربایجان-غربی,044,province
105,کرمانشاه,کرمانشاه,083,province
106,خوزستان,خوزستان,061,province
107,فارس,فارس,071,province
108,کرمان,کرمان,034,province
109,خراسان رضوی,خراسان-رضوی,051,province
110,اصفهان,اصفهان,031,province
111,سیستان و بلوچستان,سیستان-و-بلوچستان,054,province
112,کردستان,کردستان,087,province
113,همدان,همدان,081,province
114,چهارمحال و بختیاری,چهارمحال-و-بختیاری,038,province
115,لرستان,لرستان,066,province
116,ایلام,ایلام,084,province
117,کهگیلویه و بویراحمد,کهگیلویه-و-بویراحمد,074,province
118,بوشهر,بوشهر,077,province
119,زنجان,زنجان,024,province
120,سمنان,سمنان,023,province
121,یزد,یزد,035,province
122,هرمزگان,هرمزگان,076,province
123,تهران,تهران,021,province
124,اردبیل,اردبیل,045,province
125,قم,قم,025,province
126,قزوین,قزوین,028,province
127,گلستان,گلستان,017,province
128,خراسان شمالی,خراسان-شمالی,058,province
129,خراسان جنوبی,خراسان-جنوبی,056,province
130,البرز,البرز,026,province
1000001,اراک,اراک,,county
1000002,آشتیان,آشتیان,,county
1000003,تفرش,تفرش,,county
1000004,خمین,خمین,,county
1000005,دلیجان,دلیجان,,county
1000006,ساوه,ساوه,,county
1000007,شازند,شازند,,county
1000009,محلات,محلات,,county
1010001,آستارا,آستارا,,county
1010002,آستانه اشرفیه,آستانه-اشرفیه,,county
1010003,بندرانزلی,بندرانزلی,,county
1010004,طوالش,طوالش,,county
1010005,رشت,رشت,,county
1010006,رودبار,رودبار,,county
1010007,رودسر,رودسر,,county
1010008,صومعه سرا,صومعه-سرا,,county
1010009,فومن,فومن,,county
1020001,آمل,آمل,,county
1020002,بابل,بابل,,county
1020004,بهشهر,بهشهر,,county
1020005,تنکابن,تنکابن,,county
1020006,رامسر,رامسر,,county
1020007,ساری,ساری,,county
1020008,سوادکوه,سوادکوه,,county
1030002,اهر,اهر,,county
1030003,تبریز,تبریز,,county
1030005,سراب,سراب,,county
1030006,مراغه,مراغه,,county
1030007,مرند,مرند,,county
1040001,ارومیه,ارومیه,,county
1040002,پیرانشهر,پیرانشهر,,county
1040003,خوی,خوی,,county
1040004,سردشت,سردشت,,county
1040005,سلماس,سلماس,,county
1040006,ماکو,ماکو,,county
1040007,مهاباد,مهاباد,,county
1040008,میاندوآب,میاندوآب,,county
1040009,نقده,نقده,,county
1050001,اسلام آبادغرب,اسلام-آبادغرب,,county
1050002,کرمانشاه,کرمانشاه,,county
1050003,پاوه,پاوه,,county
1050004,سرپل ذهاب,سرپل-ذهاب,,county
1050005,سنقر,سنقر,,county
1050006,قصرشیرین,قصرشیرین,,county
1050007,کنگاور,کنگاور,,county
1050008,گیلانغرب,گیلانغرب,,county
1050009,جوانرود,جوانرود,,county
1060001,آبادان,آبادان,,county
1060002,اندیمشک,اندیمشک,,county
1060003,اهواز,اهواز,,county
1060004,ایذه,ایذه,,county
1060005,بندرماهشهر,بندرماهشهر,,county
1060006,بهبهان,بهبهان,,county
1060007,خرمشهر,خرمشهر,,county
1060008,دزفول,دزفول,,county
1060009,دشت آزادگان,دشت-آزادگان,,county
1070001,آباده,آباده,,county
1070002,استهبان,استهبان,,county
1070003,اقلید,اقلید,,county
1070004,جهرم,جهرم,,county
1070005,داراب,داراب,,county
1070006,سپیدان,سپیدان,,county
1070007,شیراز,شیراز,,county
1070008,فسا,فسا,,county
1070009,فیروزآباد,فیروزآباد,,county
1080001,بافت,بافت,,county
1080002,بم,بم,,county
1080003,جیرفت,جیرفت,,county
1080004,رفسنجان,رفسنجان,,county
1080005,زرند,زرند,,county
1080006,سیرجان,سیرجان,,county
1080007,شهربابک,شهربابک,,county
1080008,کرمان,کرمان,,county
1080009,کهنوج,کهنوج,,county
1090004,تایباد,تایباد,,county
1090005,تربت حیدریه,تربت-حیدریه,,county
1090006,تربت جام,تربت-جام,,county
1090007,درگز,درگز,,county
1090008,سبزوار,سبزوار,,county
1100001,اردستان,اردستان,,county
1100002,اصفهان,اصفهان,,county
1100003,خمینی شهر,خمینی-شهر,,county
1100004,خوانسار,خوانسار,,county
1100005,سمیرم,سمیرم,,county
1100006,فریدن,فریدن,,county
1100007,فریدونشهر,فریدونشهر,,county
1100008,فلاورجان,فلاورجان,,county
1100009,شهرضا,شهرضا,,county
1110001,ایرانشهر,ایرانشهر,,county
1110002,چاه بهار,چاه-بهار,,county
1110003,خاش,خاش,,county
1110004,زابل,زابل,,county
1110005,زاهدان,زاهدان,,county
1110006,سراوان,سراوان,,county
1110007,نیک شهر,نیک-شهر,,county
1110008,راسک,راسک,,county
1110009,کنارک,کنارک,,county
1120001,بانه,بانه,,county
1120002,بیجار,بیجار,,county
1120003,سقز,سقز,,county
1120004,سنندج,سنندج,,county
1120005,قروه,قروه,,county
1120006,مریوان,مریوان,,county
1120007,دیواندره,دیواندره,,county
1120008,کامیاران,کامیاران,,county
1120009,سروآباد,سروآباد,,county
1130001,تویسرکان,تویسرکان,,county
1130002,ملایر,ملایر,,county
1130003,نهاوند,نهاوند,,county
1130004,همدان,همدان,,county
1130005,کبودرآهنگ,کبودرآهنگ,,county
1130006,اسدآباد,اسدآباد,,county
1130007,بهار,بهار,,county
1130008,رزن,رزن,,county
1130009,فامنین,فامنین,,county
1140001,بروجن,بروجن,,county
1140002,شهرکرد,شهرکرد,,county
1140003,فارسان,فارسان,,county
1140004,لردگان,لردگان,,county
1140005,اردل,اردل,,county
1140006,کوهرنگ,کوهرنگ,,county
1140007,کیار,کیار,,county
1140008,سامان,سامان,,county
1140009,بن,بن,,county
1150001,الیگودرز,الیگودرز,,county
1150002,بروجرد,بروجرد,,county
1150003,خرم آباد,خرم-آباد,,county
1150004,دلفان,دلفان,,county
1150005,دورود,دورود,,county
1150006,کوهدشت,کوهدشت,,county
1150007,ازنا,ازنا,,county
1150008,پلدختر,پلدختر,,county
1150009,سلسله,سلسله,,county
1160001,ایلام,ایلام,,county
1160002,دره شهر,دره-شهر,,county
1160003,دهلران,دهلران,,county
1160004,چرداول,چرداول,,county
1160005,مهران,مهران,,county
1160006,آبدانان,آبدانان,,county
1160007,ایوان,ایوان,,county
1160008,ملکشاهی,ملکشاهی,,county
1160009,سیروان,سیروان,,county
1170001,بویراحمد,بویراحمد,,county
1170002,کهگیلویه,کهگیلویه,,county
1170003,گچساران,گچساران,,county
1170004,دنا,دنا,,county
1170005,بهمیی,بهمیی,,county
1170006,چرام,چرام,,county
1170007,باشت,باشت,,county
1170008,لنده,لنده,,county
1170009,مارگون,مارگون,,county
1180001,بوشهر,بوشهر,,county
1180002,تنگستان,تنگستان,,county
1180003,دشتستان,دشتستان,,county
1180004,دشتی,دشتی,,county
1180005,دیر,دیر,,county
1180006,کنگان,کنگان,,county
1180007,گناوه,گناوه,,county
1180008,دیلم,دیلم,,county
1180009,جم,جم,,county
1190001,ابهر,ابهر,,county
1190003,خدابنده,خدابنده,,county
1190004,زنجان,زنجان,,county
1190006,ایجرود,ایجرود,,county
1190007,خرمدره,خرمدره,,county
1190008,طارم,طارم,,county
1190009,ماهنشان,ماهنشان,,county
1200001,دامغان,دامغان,,county
1200002,سمنان,سمنان,,county
1200003,شاهرود,شاهرود,,county
1200004,گرمسار,گرمسار,,county
1200005,مهدی شهر,مهدی-شهر,,county
1200006,آرادان,آرادان,,county
1200007,میامی,میامی,,county
1200008,سرخه,سرخه,,county
1210001,اردکان,اردکان,,county
1210002,بافق,بافق,,county
1210003,تفت,تفت,,county
1210004,مهریز,مهریز,,county
1210005,یزد,یزد,,county
1210006,میبد,میبد,,county
1210007,ابرکوه,ابرکوه,,county
1210008,اشکذر,اشکذر,,county
1210009,خاتم,خاتم,,county
1220001,ابوموسی,ابوموسی,,county
1220002,بندر عباس,بندر-عباس,,county
1220003,بندر لنگه,بندر-لنگه,,county
1220004,قشم,قشم,,county
1220005,میناب,میناب,,county
1220006,جاسک,جاسک,,county
1220007,رودان,رودان,,county
1220008,حاجی آباد,حاجی-آباد,,county
1220009,بستک,بستک,,county
1230001,تهران,تهران,,county
1230002,دماوند,دماوند,,county
1230003,ری,ری,,county
1230004,شمیرانات,شمیرانات,,county
1230006,ورامین,ورامین,,county
1230009,شهریار,شهریار,,county
1240001,اردبیل,اردبیل,,county
1240002,بیله سوار,بیله-سوار,,county
1240003,خلخال,خلخال,,county
1240004,مشگین شهر,مشگین-شهر,,county
1240005,گرمی,گرمی,,county
1240006,پارس آباد,پارس-آباد,,county
1240007,کوثر,کوثر,,county
1240008,نمین,نمین,,county
1240009,نیر,نیر,,county
1250001,قم,قم,,county
1250002,جعفرآباد,جعفرآباد,,county
1250003,کهک,کهک,,county
1260001,بویین زهرا,بویین-زهرا,,county
1260002,تاکستان,تاکستان,,county
1260003,قزوین,قزوین,,county
1260004,آبیک,آبیک,,county
1260005,البرز,البرز,,county
1260006,آوج,آوج,,county
1270001,بندرگز,بندرگز,,county
1270002,ترکمن,ترکمن,,county
1270003,علی آباد کتول,علی-آباد-کتول,,county
1270004,کردکوی,کردکوی,,county
1270005,گرگان,گرگان,,county
1270006,گنبدکاووس,گنبدکاووس,,county
1270007,مینودشت,مینودشت,,county
1270008,آق قلا,آق-قلا,,county
1270009,کلاله,کلاله,,county
1280001,اسفراین,اسفراین,,county
1280002,بجنورد,بجنورد,,county
1280003,جاجرم,جاجرم,,county
1280004,شیروان,شیروان,,county
1280005,فاروج,فاروج,,county
1280006,سملقان,سملقان,,county
1280007,گرمه,گرمه,,county
1280008,راز و جرگلان,راز-و-جرگلان,,county
1280009,بام و صفی آباد,بام-و-صفی-آباد,,county
1290001,بیرجند,بیرجند,,county
1290002,درمیان,درمیان,,county
1290003,سربیشه,سربیشه,,county
1290004,قاینات,قاینات,,county
1290005,نهبندان,نهبندان,,county
1290006,سرایان,سرایان,,county
1290007,فردوس,فردوس,,county
1290008,بشرویه,بشرویه,,county
1290009,زیرکوه,زیرکوه,,county
1300001,کرج,کرج,,county
1300002,ساوجبلاغ,ساوجبلاغ,,county
1300003,نظرآباد,نظرآباد,,county
1300004,طالقان,طالقان,,county
1300005,اشتهارد,اشتهارد,,county
1300006,فردیس,فردیس,,county
1300007,چهارباغ,چهارباغ,,county
10000010,زرندیه,زرندیه,,county
10000011,کمیجان,کمیجان,,county
10000012,خنداب,خنداب,,county
10000013,فراهان,فراهان,,county
10100010,لنگرود,لنگرود,,county
10100011,لاهیجان,لاهیجان,,county
10100012,شفت,شفت,,county
10100013,املش,املش,,county
10100014,رضوانشهر,رضوانشهر,,county
10100015,سیاهکل,سیاهکل,,county
10100016,ماسال,ماسال,,county
10100017,خمام,خمام,,county
10200010,قایم شهر,قایم-شهر,,county
10200014,نور,نور,,county
10200015,نوشهر,نوشهر,,county
10200016,بابلسر,بابلسر,,county
10200018,محمودآباد,محمودآباد,,county
10200019,نکا,نکا,,county
10200020,چالوس,چالوس,,county
10200021,جویبار,جویبار,,county
10200022,گلوگاه,گلوگاه,,county
10200023,فریدونکنار,فریدونکنار,,county
10200024,عباس آباد,عباس-آباد,,county
10200025,میاندورود,میاندورود,,county
10200026,سیمرغ,سیمرغ,,county
10200027,سوادکوه شمالی,سوادکوه-شمالی,,county
10200028,کلاردشت,کلاردشت,,county
10300010,میانه,میانه,,county
10300011,هشترود,هشترود,,county
10300012,بناب,بناب,,county
10300013,بستان آباد,بستان-آباد,,county
10300014,شبستر,شبستر,,county
10300015,کلیبر,کلیبر,,county
10300016,هریس,هریس,,county
10300019,جلفا,جلفا,,county
10300020,ملکان,ملکان,,county
10300021,آذرشهر,آذرشهر,,county
10300022,اسکو,اسکو,,county
10300023,چاراویماق,چاراویماق,,county
10300024,ورزقان,ورزقان,,county
10300025,عجب شیر,عجب-شیر,,county
10300026,خداآفرین,خداآفرین,,county
10300027,هوراند,هوراند,,county
10300028,لیلان,لیلان,,county
10400010,بوکان,بوکان,,county
10400011,شاهین دژ,شاهین-دژ,,county
10400012,تکاب,تکاب,,county
10400013,اشنویه,اشنویه,,county
10400014,چالدران,چالدران,,county
10400015,پلدشت,پلدشت,,county
10400016,چایپاره,چایپاره,,county
10400017,شوط,شوط,,county
10400018,چهاربرج,چهاربرج,,county
10400019,باروق,باروق,,county
10400020,میرآباد,میرآباد,,county
10500010,صحنه,صحنه,,county
10500011,هرسین,هرسین,,county
10500012,ثلاث باباجانی,ثلاث-باباجانی,,county
10500013,دالاهو,دالاهو,,county
10500014,روانسر,روانسر,,county
10600010,رامهرمز,رامهرمز,,county
10600011,شادگان,شادگان,,county
10600012,شوشتر,شوشتر,,county
10600013,مسجدسلیمان,مسجدسلیمان,,county
10600014,شوش,شوش,,county
10600015,باغ ملک,باغ-ملک,,county
10600016,امیدیه,امیدیه,,county
10600017,لالی,لالی,,county
10600018,هندیجان,هندیجان,,county
10600019,رامشیر,رامشیر,,county
10600020,گتوند,گتوند,,county
10600021,اندیکا,اندیکا,,county
10600022,هفتکل,هفتکل,,county
10600023,هویزه,هویزه,,county
10600024,باوی,باوی,,county
10600025,حمیدیه,حمیدیه,,county
10600026,آغاجاری,آغاجاری,,county
10600027,کارون,کارون,,county
10600028,کرخه,کرخه,,county
10600029,دزپارت,دزپارت,,county
10600030,صیدون,صیدون,,county
10700010,کازرون,کازرون,,county
10700011,لارستان,لارستان,,county
10700012,مرودشت,مرودشت,,county
10700013,ممسنی,ممسنی,,county
10700014,نی ریز,نی-ریز,,county
10700015,لامرد,لامرد,,county
10700016,بوانات,بوانات,,county
10700017,ارسنجان,ارسنجان,,county
10700018,خرم بید,خرم-بید,,county
10700019,زرین دشت,زرین-دشت,,county
10700020,قیروکارزین,قیروکارزین,,county
10700021,مهر,مهر,,county
10700022,فراشبند,فراشبند,,county
10700023,پاسارگاد,پاسارگاد,,county
10700024,خنج,خنج,,county
10700025,سروستان,سروستان,,county
10700026,رستم,رستم,,county
10700027,گراش,گراش,,county
10700028,کوار,کوار,,county
10700029,خرامه,خرامه,,county
10700030,زرقان,زرقان,,county
10700031,بیضا,بیضا,,county
10700032,سرچهان,سرچهان,,county
10700033,کوه چنار,کوه-چنار,,county
10700034,خفر,خفر,,county
10700035,بختگان,بختگان,,county
10700036,اوز,اوز,,county
10700037,جویم,جویم,,county
10800010,بردسیر,بردسیر,,county
10800011,راور,راور,,county
10800012,عنبرآباد,عنبرآباد,,county
10800013,منوجان,منوجان,,county
10800014,کوهبنان,کوهبنان,,county
10800015,رودبارجنوب,رودبارجنوب,,county
10800016,قلعه گنج,قلعه-گنج,,county
10800017,ریگان,ریگان,,county
10800018,رابر,رابر,,county
10800019,فهرج,فهرج,,county
10800020,انار,انار,,county
10800021,نرماشیر,نرماشیر,,county
10800022,فاریاب,فاریاب,,county
10800023,ارزوییه,ارزوییه,,county
10800024,گنبکی,گنبکی,,county
10800025,جازموریان,جازموریان,,county
10900013,قوچان,قوچان,,county
10900014,کاشمر,کاشمر,,county
10900015,گناباد,گناباد,,county
10900016,مشهد,مشهد,,county
10900017,نیشابور,نیشابور,,county
10900018,چناران,چناران,,county
10900019,خواف,خواف,,county
10900020,سرخس,سرخس,,county
10900022,فریمان,فریمان,,county
10900023,بردسکن,بردسکن,,county
10900027,رشتخوار,رشتخوار,,county
10900028,کلات,کلات,,county
10900029,خلیل آباد,خلیل-آباد,,county
10900030,مه ولات,مه-ولات,,county
10900031,بجستان,بجستان,,county
10900032,طرقبه شاندیز,طرقبه-شاندیز,,county
10900033,فیروزه,فیروزه,,county
10900034,جغتای,جغتای,,county
10900035,زاوه,زاوه,,county
10900036,جوین,جوین,,county
10900037,باخرز,باخرز,,county
10900038,خوشاب,خوشاب,,county
10900039,داورزن,داورزن,,county
10900040,صالح آباد,صالح-آباد,,county
10900041,کوهسرخ,کوهسرخ,,county
10900042,زبرخان,زبرخان,,county
10900043,ششتمد,ششتمد,,county
10900044,گلبهار,گلبهار,,county
10900045,میان جلگه,میان-جلگه,,county
11000010,کاشان,کاشان,,county
11000011,گلپایگان,گلپایگان,,county
11000012,لنجان,لنجان,,county
11000013,نایین,نایین,,county
11000014,نجف آباد,نجف-آباد,,county
11000015,نطنز,نطنز,,county
11000016,شاهین شهرو میمه,شاهین-شهرو-میمه,,county
11000017,مبارکه,مبارکه,,county
11000018,آران و بیدگل,آران-و-بیدگل,,county
11000019,تیران وکرون,تیران-وکرون,,county
11000020,چادگان,چادگان,,county
11000021,دهاقان,دهاقان,,county
11000022,برخوار,برخوار,,county
11000023,خور و بیابانک,خور-و-بیابانک,,county
11000024,بویین و میاندشت,بویین-و-میاندشت,,county
11000025,کوهپایه,کوهپایه,,county
11000026,جرقویه,جرقویه,,county
11000027,ورزنه,ورزنه,,county
11000028,هرند,هرند,,county
11100010,زهک,زهک,,county
11100011,هیرمند,هیرمند,,county
11100012,دلگان,دلگان,,county
11100013,مهرستان,مهرستان,,county
11100014,سیب و سوران,سیب-و-سوران,,county
11100015,نیمروز,نیمروز,,county
11100016,هامون,هامون,,county
11100017,میرجاوه,میرجاوه,,county
11100018,قصرقند,قصرقند,,county
11100019,فنوج,فنوج,,county
11100020,بمپور,بمپور,,county
11100021,تفتان,تفتان,,county
11100022,دشتیاری,دشتیاری,,county
11100023,سرباز,سرباز,,county
11100024,گلشن,گلشن,,county
11100025,لاشار,لاشار,,county
11100026,زرآباد,زرآباد,,county
11200010,دهگلان,دهگلان,,county
11300010,درگزین,درگزین,,county
11400010,خانمیرزا,خانمیرزا,,county
11400011,فلارد,فلارد,,county
11400012,فرخ شهر,فرخ-شهر,,county
11500010,چگنی,چگنی,,county
11500011,رومشکان,رومشکان,,county
11500012,معمولان,معمولان,,county
11600010,بدره,بدره,,county
11600011,هلیلان,هلیلان,,county
11600012,چوار,چوار,,county
11800010,عسلویه,عسلویه,,county
11900010,سلطانیه,سلطانیه,,county
12100011,بهاباد,بهاباد,,county
12100012,مروست,مروست,,county
12100013,زارچ,زارچ,,county
12200010,خمیر,خمیر,,county
12200011,پارسیان,پارسیان,,county
12200012,سیریک,سیریک,,county
12200013,بشاگرد,بشاگرد,,county
12300010,اسلامشهر,اسلامشهر,,county
12300012,رباط کریم,رباط-کریم,,county
12300013,پاکدشت,پاکدشت,,county
12300014,فیروزکوه,فیروزکوه,,county
12300016,قدس,قدس,,county
12300017,ملارد,ملارد,,county
12300018,پیشوا,پیشوا,,county
12300019,بهارستان,بهارستان,,county
12300020,پردیس,پردیس,,county
12300021,قرچک,قرچک,,county
12400010,سرعین,سرعین,,county
12400011,اصلاندوز,اصلاندوز,,county
12400012,انگوت,انگوت,,county
12700010,آزادشهر,آزادشهر,,county
12700011,رامیان,رامیان,,county
12700012,مراوه تپه,مراوه-تپه,,county
12700013,گمیشان,گمیشان,,county
12700014,گالیکش,گالیکش,,county
12800010,مانه,مانه,,county
12900010,خوسف,خوسف,,county
12900011,طبس,طبس,,county
1000001001,امان آباد,امان-آباد,,rural
1000001002,امیریه,امیریه,,rural
1000001003,داودآباد,داودآباد,,rural
1000001004,معصومیه,معصومیه,,district
1000001005,سده,سده,,rural
1000001006,شمس آباد,شمس-آباد,,rural
1000001008,مشهد میقان,مشهد-میقان,,rural
1000002001,سیاوشان,سیاوشان,,rural
1000002002,گرکان,گرکان,,rural
1000002003,مزرعه نو,مزرعه-نو,,rural
1000003001,بازرجان,بازرجان,,rural
1000003002,رودبار,رودبار,,rural
1000003003,خرازان,خرازان,,rural
1000003004,کوه پناه,کوه-پناه,,rural
1000004001,چهار چشمه,چهار-چشمه,,rural
1000004002,خرم دشت,خرم-دشت,,rural
1000004003,حمزه لو,حمزه-لو,,rural
1000004005,رستاق,رستاق,,rural
1000004006,صالحان,صالحان,,rural
1000004007,گله زن,گله-زن,,rural
1000005001,دودهک,دودهک,,rural
1000005002,هستیجان,هستیجان,,rural
1000005003,جاسب,جاسب,,rural
1000005004,جوشق,جوشق,,rural
1000006001,آق کهریز,آق-کهریز,,rural
1000006002,طراز ناهید,طراز-ناهید,,rural
1000006003,قره چای,قره-چای,,rural
1000006004,نورعلی بیک,نورعلی-بیک,,rural
1000007001,آستانه,آستانه,,rural
1000007002,کوهسار,کوهسار,,rural
1000007003,نهرمیان,نهرمیان,,rural
1000007004,قره کهریز,قره-کهریز,,district
1000007007,کزاز,کزاز,,rural
1000009001,باقرآباد,باقرآباد,,rural
1000009002,خورهه,خورهه,,rural
1010001001,حیران,حیران,,rural
1010001002,لوندویل,لوندویل,,rural
1010001003,ویرمونی,ویرمونی,,rural
1010002001,دهگاه,دهگاه,,rural
1010002002,کیاشهر,کیاشهر,,rural
1010002003,کیسم,کیسم,,rural
1010002004,چهارده,چهارده,,rural
1010003001,چهار فریضه,چهار-فریضه,,rural
1010003002,لیچارکی حسن رود,لیچارکی-حسن-رود,,rural
1010004001,اسالم,اسالم,,rural
1010004002,ساحلی جوکندان,ساحلی-جوکندان,,rural
1010004003,طولارود,طولارود,,rural
1010004004,کوهستانی تالش,کوهستانی-تالش,,rural
1010004005,اسالم,اسالم,,district
1010004006,حویق,حویق,,district
1010005001,اسلام آباد,اسلام-آباد,,rural
1010005002,سراوان,سراوان,,rural
1010005003,سنگر,سنگر,,rural
1010005004,لاکان,لاکان,,rural
1010005005,مرکزی,مرکزی,,district
1010005006,خشکبیجار,خشکبیجار,,district
1010006001,خورگام,خورگام,,rural
1010006002,دشتویل,دشتویل,,rural
1010006003,کلشتر,کلشتر,,rural
1010006004,خورگام,خورگام,,district
1010007001,اشکور سفلی,اشکور-سفلی,,rural
1010007002,اشکور علیا و سیارستاق ییلاقی,اشکور-علیا-و-سیارستاق-ییلاقی,,rural
1010007003,رحیم آباد,رحیم-آباد,,rural
1010007004,شوئیل,شوئیل,,rural
1010007005,کلاچای,کلاچای,,district
1010008001,تولم,تولم,,rural
1010008002,هندوخاله,هندوخاله,,rural
1010008003,کسما,کسما,,rural
1010008004,پیشخوان,پیشخوان,,rural
1010008005,ضیابر,ضیابر,,district
1010009001,آلیان,آلیان,,rural
1010009002,سردار جنگل,سردار-جنگل,,rural
1010009003,سردارجنگل,سردارجنگل,,district
1010009004,گشت,گشت,,rural
1010009005,گوراب پس,گوراب-پس,,rural
1010009006,لولمان,لولمان,,rural
1020001001,بالالاریجان,بالالاریجان,,rural
1020001002,لاریجان سفلی,لاریجان-سفلی,,rural
1020001003,دابوی میانی,دابوی-میانی,,rural
1020001004,امامزاده عبدالله,امامزاده-عبدالله,,district
1020001005,دشت سر,دشت-سر,,district
1020001006,هرازپی جنوبی,هرازپی-جنوبی,,rural
1020001007,دشت سر سفلی,دشت-سر-سفلی,,rural
1020002001,خوش رود,خوش-رود,,rural
1020002002,فیضیه,فیضیه,,rural
1020002003,بندپی شرقی,بندپی-شرقی,,district
1020002004,شهیدآباد,شهیدآباد,,rural
1020002005,گنج افروز,گنج-افروز,,rural
1020002006,گتاب,گتاب,,district
1020004001,کوهستان,کوهستان,,rural
1020004002,میان کاله,میان-کاله,,rural
1020004003,پنج هزاره,پنج-هزاره,,rural
1020004004,یانه سر,یانه-سر,,district
1020005001,میرشمس الدین,میرشمس-الدین,,rural
1020005002,گلیجان,گلیجان,,rural
1020005003,سه هزار,سه-هزار,,rural
1020005004,بلده شرقی,بلده-شرقی,,rural
1020005005,کوهستان,کوهستان,,district
1020006001,جنت رودبار,جنت-رودبار,,rural
1020006002,چهل شهید,چهل-شهید,,rural
1020006003,سخت سر,سخت-سر,,rural
1020006004,اشکور,اشکور,,rural
1020007001,پشتکوه,پشتکوه,,rural
1020007002,چهاردانگه,چهاردانگه,,rural
1020007003,گرماب,گرماب,,rural
1020007005,مذکوره,مذکوره,,rural
1020007006,میاندورود کوچک,میاندورود-کوچک,,rural
1020007007,رودپی شمالی,رودپی-شمالی,,district
1020008001,راستوپی,راستوپی,,rural
1020008002,کسلیان,کسلیان,,rural
1020008003,ولوپی,ولوپی,,rural
1030002001,آذغان,آذغان,,rural
1030002002,اوچ هاچا,اوچ-هاچا,,rural
1030002003,بزکش,بزکش,,rural
1030002005,گویجه بل,گویجه-بل,,rural
1030002006,ورگهان,ورگهان,,rural
1030003001,آجی چای,آجی-چای,,rural
1030003002,اسپران,اسپران,,rural
1030003003,مرکزی,مرکزی,,district
1030003004,خسروشاه,خسروشاه,,district
1030003005,باسمنج,باسمنج,,district
1030003006,سردصحرا,سردصحرا,,rural
1030005001,ابرغان,ابرغان,,rural
1030005002,آغمیون,آغمیون,,rural
1030005003,شربیان,شربیان,,rural
1030005004,رازلیق,رازلیق,,rural
1030005005,صایین,صایین,,rural
1030005006,ملایعقوب,ملایعقوب,,rural
1030006001,سراجوی جنوبی,سراجوی-جنوبی,,rural
1030006002,سراجوی شرقی,سراجوی-شرقی,,rural
1030006003,سراجوی شمالی,سراجوی-شمالی,,rural
1030006004,سراجوی غربی,سراجوی-غربی,,rural
1030006005,قره ناز,قره-ناز,,rural
1030007001,بناب,بناب,,rural
1030007002,یکانات,یکانات,,rural
1030007003,یامچی,یامچی,,district
1030007004,زنوزق,زنوزق,,rural
1030007006,میشاب شمالی,میشاب-شمالی,,rural
1030007007,هرزندات شرقی,هرزندات-شرقی,,rural
1030007008,هرزندات غربی,هرزندات-غربی,,rural
1040001001,انزل جنوبی,انزل-جنوبی,,rural
1040001002,انزل شمالی,انزل-شمالی,,rural
1040001003,مرگور,مرگور,,rural
1040001004,باش قلعه,باش-قلعه,,rural
1040001005,بکشلوچای,بکشلوچای,,rural
