# list-of-cities-in-Iran LLM Context
schema: 1
source_year: 1404
scope: provinces
entity: province
rows: 31
encoding: UTF-8
representation: TSV; literal tabs and newlines are forbidden in values; final newline is LF.

semantics:
- province = استان; a first-level administrative division.
- county = شهرستان; an administrative division.
- city = شهر; an urban settlement.
- county and city are different entity types.
- same name does not mean the same entity.

columns:
id	name	slug	tel_prefix

data:
100	مرکزی	مرکزی	086
101	گیلان	گیلان	013
102	مازندران	مازندران	011
103	آذربایجان شرقی	آذربایجان-شرقی	041
104	آذربایجان غربی	آذربایجان-غربی	044
105	کرمانشاه	کرمانشاه	083
106	خوزستان	خوزستان	061
107	فارس	فارس	071
108	کرمان	کرمان	034
109	خراسان رضوی	خراسان-رضوی	051
110	اصفهان	اصفهان	031
111	سیستان و بلوچستان	سیستان-و-بلوچستان	054
112	کردستان	کردستان	087
113	همدان	همدان	081
114	چهارمحال و بختیاری	چهارمحال-و-بختیاری	038
115	لرستان	لرستان	066
116	ایلام	ایلام	084
117	کهگیلویه و بویراحمد	کهگیلویه-و-بویراحمد	074
118	بوشهر	بوشهر	077
119	زنجان	زنجان	024
120	سمنان	سمنان	023
121	یزد	یزد	035
122	هرمزگان	هرمزگان	076
123	تهران	تهران	021
124	اردبیل	اردبیل	045
125	قم	قم	025
126	قزوین	قزوین	028
127	گلستان	گلستان	017
128	خراسان شمالی	خراسان-شمالی	058
129	خراسان جنوبی	خراسان-جنوبی	056
130	البرز	البرز	026
