entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis
province,100,اراک,geonames-iran-2026-09-19,143127,geonames_admin_feature
province,101,رشت,geonames-iran-2026-09-19,118743,geonames_admin_feature
province,102,ساری,geonames-iran-2026-09-19,116996,geonames_admin_feature
province,103,تبریز,geonames-iran-2026-09-19,113646,geonames_admin_feature
province,104,ارومیه,geonames-iran-2026-09-19,121801,geonames_admin_feature
province,105,کرمانشاه,geonames-iran-2026-09-19,128226,geonames_admin_feature
province,106,اهواز,geonames-iran-2026-09-19,144448,geonames_admin_feature
province,107,شیراز,geonames-iran-2026-09-19,115019,geonames_admin_feature
province,108,کرمان,geonames-iran-2026-09-19,128234,geonames_admin_feature
province,109,مشهد,geonames-iran-2026-09-19,124665,geonames_admin_feature
province,110,اصفهان,geonames-iran-2026-09-19,418863,geonames_admin_feature
province,111,زاهدان,geonames-iran-2026-09-19,1159301,geonames_admin_feature
province,112,سنندج,geonames-iran-2026-09-19,117574,geonames_admin_feature
province,113,همدان,geonames-iran-2026-09-19,132144,geonames_admin_feature
province,114,شهرکرد,geonames-iran-2026-09-19,115770,geonames_admin_feature
province,115,خرم آباد,geonames-iran-2026-09-19,127349,geonames_admin_feature
province,116,ایلام,geonames-iran-2026-09-19,130802,geonames_admin_feature
province,117,یاسوج,geonames-iran-2026-09-19,66093,geonames_admin_feature
province,118,بوشهر,geonames-iran-2026-09-19,139817,geonames_admin_feature
province,119,زنجان,geonames-iran-2026-09-19,111453,geonames_admin_feature
province,120,سمنان,geonames-iran-2026-09-19,116402,geonames_admin_feature
province,121,یزد,geonames-iran-2026-09-19,111822,geonames_admin_feature
province,122,بندر عباس,geonames-iran-2026-09-19,141681,geonames_admin_feature
province,123,تهران,coordinate-center-verification-2026-09-19,province:123,verified_override
province,124,اردبیل,geonames-iran-2026-09-19,143083,geonames_admin_feature
province,125,قم,geonames-iran-2026-09-19,119208,geonames_admin_feature
province,126,قزوین,geonames-iran-2026-09-19,119505,geonames_admin_feature
province,127,گرگان,geonames-iran-2026-09-19,132892,geonames_admin_feature
province,128,بجنورد,geonames-iran-2026-09-19,140380,geonames_admin_feature
province,129,بیرجند,geonames-iran-2026-09-19,140463,geonames_admin_feature
province,130,کرج,geonames-iran-2026-09-19,128747,geonames_admin_feature
county,1000001,اراک,geonames-iran-2026-09-19,143127,geonames_admin_feature
county,1000002,آشتیان,geonames-iran-2026-09-19,142744,geonames_admin_feature
county,1000003,تفرش,geonames-iran-2026-09-19,113636,geonames_admin_feature
county,1000004,خمین,geonames-iran-2026-09-19,127403,geonames_admin_feature
county,1000005,دلیجان,geonames-iran-2026-09-19,136399,geonames_admin_feature
county,1000006,ساوه,geonames-iran-2026-09-19,116667,geonames_admin_feature
county,1000007,شازند,geonames-iran-2026-09-19,142567,geonames_admin_feature
county,1000009,محلات,geonames-iran-2026-09-19,125438,geonames_admin_feature
county,1010001,آستارا,geonames-iran-2026-09-19,142676,geonames_admin_feature
county,1010002,آستانه اشرفیه,geonames-iran-2026-09-19,142679,geonames_admin_feature
county,1010003,بندرانزلی,geonames-iran-2026-09-19,141679,geonames_admin_feature
county,1010004,هشتپر (تالش),geonames-iran-2026-09-19,113343,geonames_admin_feature
county,1010005,رشت,geonames-iran-2026-09-19,118743,geonames_admin_feature
county,1010006,رودبار,geonames-iran-2026-09-19,41151,geonames_admin_feature
county,1010007,رودسر,geonames-iran-2026-09-19,118191,geonames_admin_feature
county,1010008,صومعه سرا,geonames-iran-2026-09-19,113860,geonames_admin_feature
county,1010009,فومن,geonames-iran-2026-09-19,134441,geonames_admin_feature
county,1020001,آمل,geonames-iran-2026-09-19,143534,geonames_admin_feature
county,1020002,بابل,geonames-iran-2026-09-19,142363,geonames_admin_feature
county,1020004,بهشهر,geonames-iran-2026-09-19,140918,geonames_admin_feature
county,1020005,تنکابن,geonames-iran-2026-09-19,112656,geonames_admin_feature
county,1020006,رامسر,geonames-iran-2026-09-19,117773,geonames_admin_feature
county,1020007,ساری,geonames-iran-2026-09-19,116996,geonames_admin_feature
county,1020008,پل سفید,geonames-iran-2026-09-19,120936,geonames_admin_feature
county,1030002,اهر,geonames-iran-2026-09-19,144616,geonames_admin_feature
county,1030003,تبریز,geonames-iran-2026-09-19,113646,geonames_admin_feature
county,1030005,سراب,geonames-iran-2026-09-19,117368,geonames_admin_feature
county,1030006,مراغه,geonames-iran-2026-09-19,124877,geonames_admin_feature
county,1030007,مرند,geonames-iran-2026-09-19,124862,geonames_admin_feature
county,1040001,ارومیه,geonames-iran-2026-09-19,121801,geonames_admin_feature
county,1040002,پیرانشهر,coordinate-center-verification-2026-09-19,county:1040002,verified_override
county,1040003,خوی,geonames-iran-2026-09-19,126972,geonames_admin_feature
county,1040004,سردشت,geonames-iran-2026-09-19,117111,geonames_admin_feature
county,1040005,سلماس,geonames-iran-2026-09-19,117656,geonames_admin_feature
county,1040006,ماکو,geonames-iran-2026-09-19,125205,geonames_admin_feature
county,1040007,مهاباد,coordinate-center-verification-2026-09-19,county:1040007,verified_override
county,1040008,میاندوآب,geonames-iran-2026-09-19,124085,geonames_admin_feature
county,1040009,نقده,geonames-iran-2026-09-19,122698,geonames_admin_feature
county,1050001,اسلام آبادغرب,geonames-iran-2026-09-19,135175,geonames_admin_feature
county,1050002,کرمانشاه,geonames-iran-2026-09-19,128226,geonames_admin_feature
county,1050003,پاوه,geonames-iran-2026-09-19,121240,geonames_admin_feature
county,1050004,سرپل ذهاب,geonames-iran-2026-09-19,120931,geonames_admin_feature
county,1050005,سنقر,geonames-iran-2026-09-19,114049,geonames_admin_feature
county,1050006,قصرشیرین,geonames-iran-2026-09-19,119586,geonames_admin_feature
county,1050007,کنگاور,geonames-iran-2026-09-19,128831,geonames_admin_feature
county,1050008,گیلانغرب,geonames-iran-2026-09-19,133345,geonames_admin_feature
county,1050009,جوانرود,geonames-iran-2026-09-19,25883,geonames_admin_feature
county,1060001,آبادان,coordinate-center-verification-2026-09-19,county:1060001,verified_override
county,1060002,اندیمشک,geonames-iran-2026-09-19,143420,geonames_admin_feature
county,1060003,اهواز,geonames-iran-2026-09-19,144448,geonames_admin_feature
county,1060004,ایذه,geonames-iran-2026-09-19,130697,geonames_admin_feature
county,1060005,بندر ماهشهر,geonames-iran-2026-09-19,141663,geonames_admin_feature
county,1060006,بهبهان,geonames-iran-2026-09-19,140951,geonames_admin_feature
county,1060007,خرمشهر,geonames-iran-2026-09-19,127319,geonames_admin_feature
county,1060008,دزفول,geonames-iran-2026-09-19,136256,geonames_admin_feature
county,1060009,سوسنگرد,geonames-iran-2026-09-19,137268,geonames_admin_feature
county,1070001,آباده,geonames-iran-2026-09-19,145449,geonames_admin_feature
county,1070002,استهبان,geonames-iran-2026-09-19,135094,geonames_admin_feature
county,1070003,اقلید,geonames-iran-2026-09-19,135355,geonames_admin_feature
county,1070004,جهرم,geonames-iran-2026-09-19,130531,geonames_admin_feature
county,1070005,داراب,geonames-iran-2026-09-19,137956,geonames_admin_feature
county,1070006,اردکان,geonames-iran-2026-09-19,403656,geonames_admin_feature
county,1070007,شیراز,geonames-iran-2026-09-19,115019,geonames_admin_feature
county,1070008,فسا,geonames-iran-2026-09-19,134721,geonames_admin_feature
county,1070009,فیروزآباد,geonames-iran-2026-09-19,134518,geonames_admin_feature
county,1080001,بافت,geonames-iran-2026-09-19,142247,geonames_admin_feature
county,1080002,بم,geonames-iran-2026-09-19,141736,geonames_admin_feature
county,1080003,جیرفت,geonames-iran-2026-09-19,6925362,geonames_admin_feature
county,1080004,رفسنجان,geonames-iran-2026-09-19,118994,geonames_admin_feature
county,1080005,زرند,geonames-iran-2026-09-19,111421,geonames_admin_feature
county,1080006,سیرجان,coordinate-center-verification-2026-09-19,county:1080006,verified_override
county,1080007,شهربابک,geonames-iran-2026-09-19,115781,geonames_admin_feature
county,1080008,کرمان,geonames-iran-2026-09-19,128234,geonames_admin_feature
