geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
285	Boneh-ye ‘Alvān	Boneh-ye 'Alvan	Alvan,Alvān,Boneh Alavan,Boneh Alvan,Boneh Alvān,Boneh-ye `Alvan,Boneh-ye ‘Alvān,`Alvan,alwan,الوان,بنه علوان,‘Alvān	32.11171	48.45877	P	PPL	IR		15				6860	0	54	Asia/Tehran	2026-05-19
3315	Mīrābād	Mirabad	Mirabad,Mīrābād,myr abad,میر آباد	36.4053	45.372	P	PPLA2	IR		01				6000	0	1360	Asia/Tehran	2026-05-21
7319	Şāleḩābād	Salehabad	Salehabad,Salehabad-e Kuchak,salh abad,salh abad kwchk,Şālehābād-e Kūchak,Şāleḩābād,صالح آباد,صالح آباد کوچک	36.18959	57.69779	P	PPL	IR		42				0		939	Asia/Tehran	2024-07-17
7341	‘Eshqābād	`Eshqabad	`Asheqabad,`Eshqabad,عاشق آباد,عشق آباد,‘Eshqābād,‘Āsheqābād	36.87584	58.40308	P	PPL	IR		42				0		1750	Asia/Tehran	2024-07-17
8781	Kalārdasht	Kalardasht	Kalardasht,Kalārdasht,Kelardasht,Kelārdasht,klardsht,کلاردشت	36.51094	51.17343	P	PPLA2	IR		35				13401		1144	Asia/Tehran	2026-09-14
9904	Ţāleqān	Taleqan	Shahrak,Shahrak-e Taleqan,Shahrak-e Ţāleqān,Taleqan,Tāleqān,shhrk,shhrk talqan,taliqan,talqan,Ţāleqān,تالِقان,شهرك,شهرک طالقان,طالقان	36.17449	50.76908	P	PPLA2	IR		44				3211		1823	Asia/Tehran	2023-04-12
10570	Alvand	Alvand	Alborz,Alvand,albrz,alwnd,البرز,الوند	36.1893	50.0643	P	PPLA2	IR		38	11963561			90000	0	1243	Asia/Tehran	2018-11-07
15269	Nīr	Nir	Nir,Nīr,Shahrestan-e Nir,Shahrestān-e Nīr,nyr,shhrstan nyr,شهرستان نير,نير	38.0346	47.9986	P	PPLA2	IR		32				5873		1623	Asia/Tehran	2025-10-01
16977	Angut	Angut	Tazeh Kand,Tazeh Kand-e Angut,Tāzeh Kand,Tāzeh Kand-e Angūt,tazh knd,tazih kandi aangwt,تازه كند,تازِه كَندِ اَنگوت	39.0443	47.7453	P	PPL	IR		32				2645		768	Asia/Tehran	2026-04-21
22451	Qarah Āghāj	Qarah Aghaj	Qarah Aghaj,Qarah Āghāj,Qareh Aghaj,Qareh Āghāj,qrh aghaj,قره آغاج	37.2187	47.2167	P	PPLA2	IR		33				0		1867	Asia/Tehran	2024-07-18
23290	Bostānābād	Bostanabad	Bostanabad,Bostānābād,bstan abad,بستان آباد	37.84633	46.83542	P	PPLA2	IR		33				21734		1725	Asia/Tehran	2026-06-12
24851	Nūrābād	Nurabad	Nurabad,Nūrābād,nwr abad,Нурабад,نور آباد	34.0734	47.9725	P	PPLA2	IR		23				65547		1790	Asia/Tehran	2026-05-21
25883	Javānrūd	Javanrud	Javanrud,Javānrūd,Juanru,Jūānrū,Qal`a Juanrud,Qal`eh Juanrud,Qal`eh-ye Javanrud,Qal‘a Jūanrūd,Qal‘eh Jūānrūd,Qal‘eh-ye Javānrūd,jwanrwd,جوانرود	34.8067	46.4913	P	PPLA2	IR		13	449625			54354		1317	Asia/Tehran	2026-04-28
31020	Fīrūzeh	Firuzeh	Barghan,Barghān,Bozghan,Bozghān,Firuzeh,Fīrūzeh,bzghan,fyrwzh,بزغان,فيروزه	36.28639	58.58586	P	PPLA2	IR		42				0		1168	Asia/Tehran	2024-07-22
31265	Kalāt-e Nāderī	Kalat-e Naderi	Kalat,Kalat-e Naderi,Kalāt,Kalāt-e Nāderī,klat,klat nadry,کلات,کلات نادری	36.99532	59.76472	P	PPLA2	IR		42				0		881	Asia/Tehran	2024-07-22
32767	Qarchak	Qarchak	Garchak,Qarchak,qrchk,Гарчак,قرچك	35.42873	51.57757	P	PPLA2	IR		26				251834		962	Asia/Tehran	2026-09-14
32900	Golestān	Golestan	Golestan,Golestān,Shahrak-e Golestan,Shahrak-e Golestān,glstan,shhrk glstan,Голестан,شهرك گلستان,گلستان	35.5183	51.1819	P	PPLA2	IR		26	9533739			240000		1042	Asia/Tehran	2026-09-14
40047	Gomīshān	Gomishan	Gish Dafeh,Gomesh Tappeh,Gomish Tappeh,Gomish Tappeh Jik,Gomishan,Gomīsh Tappeh,Gomīsh Tappeh Jīk,Gomīshān,Gumish Tepe,Gumshan,Gumshān,Gīsh Dafeh,gmysh tph,gmyshan,گميش تپه,گميشان	37.0718	54.07654	P	PPLA2	IR		37				19191		-23	Asia/Tehran	2026-05-20
40788	Pīsh Qal‘eh	Pish Qal`eh	Pish Qal`eh,Pīsh Qal‘eh,Qal`eh,Qal‘eh,پیش قلعه	37.65206	57.00195	P	PPL	IR		43				0		599	Asia/Tehran	2024-07-17
41151	Pā’īn-e Bāzār-e Rūdbār	Pa'in-e Bazar-e Rudbar	Pa'in-e Bazar-e Rudbar,Pā’īn-e Bāzār-e Rūdbār,Rudbar,Rudbar-e Kuhpayeh-ye Pa'in,Rūdbār,Rūdbār-e Kūhpāyeh-ye Pā’īn,payyn bazar rwdbar,rwdbar,rwdbar kwhpayh payyn,رودبار,رودبار کوهپایه پائین,پائین بازار رودبار	36.8211	49.4264	P	PPLA2	IR		08				0		204	Asia/Tehran	2024-07-25
41210	Khorramdarreh	Khorramdarreh	Khorramdareh,Khorramdarreh,Khurramdarreh,Khurramdarrekh,khrmdrh,خرمدره	36.20777	49.19527	P	PPLA2	IR		36				50528		1582	Asia/Tehran	2018-05-03
41672	Chahārbāgh	Chaharbagh	Chahar Bagh,Chahar Dangeh,Chahār Bāgh,Chahār Dāngeh,chhar bagh,chhar dangh,چهار باغ,چهار دانگه	35.8389	50.8481	P	PPL	IR		44				48828		1251	Asia/Tehran	2026-07-25
44439	Kavār	Kavar	Kaval,Kavar,Kavār,kwar,کوار	29.20505	52.69043	P	PPLA2	IR		07				31711		1555	Asia/Tehran	2025-10-14
46023	Ḩasanābād	Hasanabad	Gonbagi,Gonbagī,Hasanabad,Hasanabad-e Gonbaki,gnbgy,hsn abad,حسن آباد,گنبگی,Ḩasanābād,Ḩasanābād-e Gonbakī	28.72242	58.86416	P	PPL	IR		29				0		707	Asia/Tehran	2024-07-23
66093	Yasuj	Yasuj	Jasudz,Jasudzh,Jasudż,Jasudž,Jásúdž,YES,Yasooj,Yasuc,Yasudsch,Yasuj,Yasûc,Yesuj,Yesūj,Yāsūj,ya su ji,yasuj,yasuja,yasujeu,yasuju,yaswj,yiswj,yswj,Ёсӯҷ,Ясудж,Յասուջ,ياسوج,يَسُّج,يِسوج,یاسوج,یسوج,यासूज,ヤースージュ,亞蘇季,야수즈	30.66824	51.58796	P	PPLA	IR		05				96786		1841	Asia/Tehran	2013-11-10
66250	Ashkez̄ar	Ashkezar	Ash Kuzar,Ashk Dez,Ashkakzar,Ashkazar,Ashkaz̄ar,Ashkezar,Ashkez̄ar,Askizar,Askīzār,aashkadhar,aaskyzar,ashkakzar,ashkdhr,Āshkakzār,آشكَكزار,اشکذر,اَسكيزار,اَشكَذَر	31.99679	54.20852	P	PPLA2	IR		40	449721			19123		1175	Asia/Tehran	2026-07-04
110831	Āzādshahr	Azadshahr	Azadshahr,Shah Pasand,Shāh Pasand,azad shhr,shah psnd,Āzādshahr,آزاد شهر,شاه پسند	37.08641	55.17222	P	PPLA2	IR		37				47590		127	Asia/Tehran	2024-07-21
