entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis,verification_note
province,123,تهران,coordinate-center-verification-2026-09-19,province:123,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1040002,پیرانشهر,coordinate-center-verification-2026-09-19,county:1040002,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1040007,مهاباد,coordinate-center-verification-2026-09-19,county:1040007,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1060001,آبادان,coordinate-center-verification-2026-09-19,county:1060001,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1080006,سیرجان,coordinate-center-verification-2026-09-19,county:1080006,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1090008,سبزوار,coordinate-center-verification-2026-09-19,county:1090008,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1120002,بیجار,coordinate-center-verification-2026-09-19,county:1120002,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1120003,سقز,coordinate-center-verification-2026-09-19,county:1120003,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1170003,دوگنبدان,coordinate-center-verification-2026-09-19,county:1170003,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1180006,بندرکنگان,coordinate-center-verification-2026-09-19,county:1180006,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1190003,قیدار,coordinate-center-verification-2026-09-19,county:1190003,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1200003,شاهرود,coordinate-center-verification-2026-09-19,county:1200003,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1200007,میامی,coordinate-center-verification-2026-09-19,county:1200007,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1220001,ابوموسی,coordinate-center-verification-2026-09-19,county:1220001,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1220006,بندر جاسک,coordinate-center-verification-2026-09-19,county:1220006,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1230001,تهران,coordinate-center-verification-2026-09-19,county:1230001,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1250002,جعفریه,coordinate-center-verification-2026-09-19,county:1250002,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1250003,کهک,coordinate-center-verification-2026-09-19,county:1250003,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1260001,بویین زهرا,coordinate-center-verification-2026-09-19,county:1260001,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1280008,راز,coordinate-center-verification-2026-09-19,county:1280008,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1280009,صفی آباد,coordinate-center-verification-2026-09-19,county:1280009,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,1300007,چهارباغ,coordinate-center-verification-2026-09-19,county:1300007,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10100017,خمام,coordinate-center-verification-2026-09-19,county:10100017,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10200010,قایم شهر,coordinate-center-verification-2026-09-19,county:10200010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10300019,جلفا,coordinate-center-verification-2026-09-19,county:10300019,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10300027,هوراند,coordinate-center-verification-2026-09-19,county:10300027,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10300028,لیلان,coordinate-center-verification-2026-09-19,county:10300028,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10300029,ترکمانچای,coordinate-center-verification-2026-09-19,county:10300029,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10400018,چهاربرج,coordinate-center-verification-2026-09-19,county:10400018,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10400019,باروق,coordinate-center-verification-2026-09-19,county:10400019,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
