entity,old_id,new_id,status,match_basis,candidate_new_ids
rural,1000001001,100000100020001,matched,legacy-id-parent-and-name,100000100020001
rural,1000001002,100000100020002,matched,legacy-id-parent-and-name,100000100020002
rural,1000001003,100000100020003,matched,legacy-id-parent-and-name,100000100020003
rural,1000001005,100000100020005,matched,legacy-id-parent-and-name,100000100020005
rural,1000001006,100000100020006,matched,legacy-id-parent-and-name,100000100020006
rural,1000001008,100000100020008,matched,legacy-id-parent-and-name,100000100020008
rural,1000002001,100000200010001,matched,legacy-id-parent-and-name,100000200010001
rural,1000002002,100000200010002,matched,legacy-id-parent-and-name,100000200010002
rural,1000002003,100000200010003,matched,legacy-id-parent-and-name,100000200010003
rural,1000003001,100000300020001,matched,legacy-id-parent-and-name,100000300020001
rural,1000003002,100000300020002,matched,legacy-id-parent-and-name,100000300020002
rural,1000003003,100000300020003,matched,legacy-id-parent-and-name,100000300020003
rural,1000003004,100000300020004,matched,legacy-id-parent-and-name,100000300020004
rural,1000004001,100000400020001,matched,legacy-id-province-county-normalized-name,100000400020001
rural,1000004002,100000400020002,matched,legacy-id-parent-and-name,100000400020002
rural,1000004003,100000400010003,matched,legacy-id-parent-and-name,100000400010003
rural,1000004005,100000400010005,matched,legacy-id-parent-and-name,100000400010005
rural,1000004006,100000400010006,matched,legacy-id-parent-and-name,100000400010006
rural,1000004007,100000400010007,matched,legacy-id-parent-and-name,100000400010007
rural,1000005001,100000500010001,matched,legacy-id-parent-and-name,100000500010001
rural,1000005002,100000500010002,matched,legacy-id-parent-and-name,100000500010002
rural,1000005003,100000500010003,matched,legacy-id-parent-and-name,100000500010003
rural,1000005004,100000500010004,matched,legacy-id-parent-and-name,100000500010004
rural,1000006001,100000600040001,matched,legacy-id-parent-and-name,100000600040001
rural,1000006002,100000600030002,matched,legacy-id-parent-and-name,100000600030002
rural,1000006003,100000600030003,matched,legacy-id-parent-and-name,100000600030003
rural,1000006004,100000600030004,matched,legacy-id-parent-and-name,100000600030004
rural,1000007001,100000700010001,matched,legacy-id-parent-and-name,100000700010001
rural,1000007002,100000700040002,matched,legacy-id-parent-and-name,100000700040002
rural,1000007003,100000700030003,matched,legacy-id-parent-and-name,100000700030003
rural,1000007007,100000700010007,matched,legacy-id-parent-and-name,100000700010007
rural,1000009001,100000900010001,matched,legacy-id-parent-and-name,100000900010001
rural,1000009002,100000900010002,matched,legacy-id-parent-and-name,100000900010002
rural,1010001001,101000100010001,matched,legacy-id-parent-and-name,101000100010001
rural,1010001002,101000100020002,matched,legacy-id-parent-and-name,101000100020002
rural,1010001003,101000100010003,matched,legacy-id-parent-and-name,101000100010003
rural,1010002001,101000200010001,matched,legacy-id-parent-and-name,101000200010001
rural,1010002002,101000200010002,matched,legacy-id-parent-and-name,101000200010002
rural,1010002003,101000200020003,matched,legacy-id-parent-and-name,101000200020003
rural,1010002004,101000200020004,matched,legacy-id-parent-and-name,101000200020004
rural,1010003001,101000300010001,matched,legacy-id-parent-and-name,101000300010001
rural,1010003002,101000300010002,matched,legacy-id-parent-and-name,101000300010002
rural,1010004001,101000400050001,matched,legacy-id-parent-and-name,101000400050001
rural,1010004002,,not_found,no-current-legacy-id-province-county-normalized-name-match,
rural,1010004003,101000400030003,matched,legacy-id-parent-and-name,101000400030003
rural,1010004004,101000400030004,matched,legacy-id-parent-and-name,101000400030004
rural,1010005001,101000500020001,matched,legacy-id-parent-and-name,101000500020001
rural,1010005002,101000500020002,matched,legacy-id-parent-and-name,101000500020002
rural,1010005003,101000500020003,matched,legacy-id-parent-and-name,101000500020003
rural,1010005004,101000500050004,matched,legacy-id-parent-and-name,101000500050004
rural,1010006001,101000600040001,matched,legacy-id-parent-and-name,101000600040001
rural,1010006002,101000600010002,matched,legacy-id-parent-and-name,101000600010002
rural,1010006003,101000600030003,matched,legacy-id-parent-and-name,101000600030003
rural,1010007001,101000700020001,matched,legacy-id-parent-and-name,101000700020001
rural,1010007002,101000700020002,matched,legacy-id-parent-and-name,101000700020002
rural,1010007003,101000700020003,matched,legacy-id-parent-and-name,101000700020003
rural,1010007004,101000700020004,matched,legacy-id-parent-and-name,101000700020004
rural,1010008001,101000800010001,matched,legacy-id-parent-and-name,101000800010001
rural,1010008002,101000800010002,matched,legacy-id-parent-and-name,101000800010002
rural,1010008003,101000800020003,matched,legacy-id-parent-and-name,101000800020003
rural,1010008004,101000800020004,matched,legacy-id-parent-and-name,101000800020004
rural,1010009001,101000900030001,matched,legacy-id-parent-and-name,101000900030001
rural,1010009002,101000900030002,matched,legacy-id-province-county-normalized-name,101000900030002
rural,1010009004,101000900020004,matched,legacy-id-parent-and-name,101000900020004
rural,1010009005,101000900020005,matched,legacy-id-parent-and-name,101000900020005
rural,1010009006,101000900020006,matched,legacy-id-parent-and-name,101000900020006
rural,1020001001,102000100010001,matched,legacy-id-parent-and-name,102000100010001
rural,1020001002,102000100010002,matched,legacy-id-parent-and-name,102000100010002
rural,1020001003,102000100030003,matched,legacy-id-parent-and-name,102000100030003
rural,1020001006,102000100020006,matched,legacy-id-parent-and-name,102000100020006
rural,1020001007,102000100020007,matched,legacy-id-parent-and-name,102000100020007
rural,1020002001,102000200010001,matched,legacy-id-parent-and-name,102000200010001
rural,1020002002,102000200020002,matched,legacy-id-parent-and-name,102000200020002
rural,1020002004,102000200010004,matched,legacy-id-parent-and-name,102000200010004
rural,1020002005,102000200020005,matched,legacy-id-parent-and-name,102000200020005
rural,1020004001,102000400020001,matched,legacy-id-parent-and-name,102000400020001
rural,1020004002,102000400020002,matched,legacy-id-parent-and-name,102000400020002
rural,1020004003,102000400020003,matched,legacy-id-parent-and-name,102000400020003
rural,1020005001,102000500020001,matched,legacy-id-parent-and-name,102000500020001
rural,1020005002,102000500020002,matched,legacy-id-parent-and-name,102000500020002
rural,1020005003,102000500050003,matched,legacy-id-parent-and-name,102000500050003
rural,1020005004,102000500040004,matched,legacy-id-parent-and-name,102000500040004
rural,1020006001,102000600020001,matched,legacy-id-parent-and-name,102000600020001
rural,1020006002,102000600020002,matched,legacy-id-parent-and-name,102000600020002
rural,1020006003,102000600010003,matched,legacy-id-parent-and-name,102000600010003
rural,1020006004,102000600010004,matched,legacy-id-parent-and-name,102000600010004
rural,1020007001,102000700010001,matched,legacy-id-parent-and-name,102000700010001
rural,1020007002,102000700010002,matched,legacy-id-parent-and-name,102000700010002
rural,1020007003,102000700010003,matched,legacy-id-parent-and-name,102000700010003
rural,1020007005,102000700030005,matched,legacy-id-parent-and-name,102000700030005
rural,1020007006,102000700030006,matched,legacy-id-parent-and-name,102000700030006
rural,1020008001,102000800020001,matched,legacy-id-parent-and-name,102000800020001
