row,type,name,province,county,district,rural,hierarchicalCode,nationalId
1,استان,آذربایجان شرقی,,,,,10,1000000024
2,شهرستان,تبریز,آذربایجان شرقی,,,,1010,1000000339
3,بخش,مرکزی,آذربایجان شرقی,تبریز,,,101010,1000004620
4,دهستان,اسپران,آذربایجان شرقی,تبریز,مرکزی,,10101010,1000015204
5,دهستان,آجی چای,آذربایجان شرقی,تبریز,مرکزی,,10101011,1000015212
6,دهستان,سردصحرا,آذربایجان شرقی,تبریز,مرکزی,,10101012,1000015220
7,شهر,تبریز,آذربایجان شرقی,تبریز,مرکزی,,101010500,1000041093
8,شهر,سردرود,آذربایجان شرقی,تبریز,مرکزی,,101010502,1000041119
9,بخش,خسروشاه,آذربایجان شرقی,تبریز,,,101011,1000004638
10,دهستان,لاهیجان,آذربایجان شرقی,تبریز,خسروشاه,,10101110,1000015246
11,دهستان,تازه کند,آذربایجان شرقی,تبریز,خسروشاه,,10101111,1000015253
12,شهر,خسروشاه,آذربایجان شرقی,تبریز,خسروشاه,,101011500,1000041127
13,بخش,باسمنج,آذربایجان شرقی,تبریز,,,101012,1002655148
14,دهستان,میدان چای,آذربایجان شرقی,تبریز,باسمنج,,10101210,1000015238
15,دهستان,مهران رود,آذربایجان شرقی,تبریز,باسمنج,,10101211,1002655130
16,شهر,باسمنج,آذربایجان شرقی,تبریز,باسمنج,,101012500,1000041101
17,شهرستان,مراغه,آذربایجان شرقی,,,,1011,1000000347
18,بخش,مرکزی,آذربایجان شرقی,مراغه,,,101110,1000004646
19,دهستان,سراجوی شمالی,آذربایجان شرقی,مراغه,مرکزی,,10111010,1000015261
20,دهستان,سراجوی غربی,آذربایجان شرقی,مراغه,مرکزی,,10111011,1000015279
21,دهستان,قره ناز,آذربایجان شرقی,مراغه,مرکزی,,10111012,1000015287
22,شهر,مراغه,آذربایجان شرقی,مراغه,مرکزی,,101110500,1000041135
23,بخش,سراجو,آذربایجان شرقی,مراغه,,,101111,1000004653
24,دهستان,سراجوی جنوبی,آذربایجان شرقی,مراغه,سراجو,,10111110,1000015295
25,دهستان,سراجوی شرقی,آذربایجان شرقی,مراغه,سراجو,,10111111,1000015303
26,دهستان,قوری چای غربی,آذربایجان شرقی,مراغه,سراجو,,10111112,1000015311
27,شهر,خداجو,آذربایجان شرقی,مراغه,سراجو,,101111500,1000041143
28,شهرستان,اهر,آذربایجان شرقی,,,,1012,1000000354
29,بخش,مرکزی,آذربایجان شرقی,اهر,,,101210,1000004661
30,دهستان,آذغان,آذربایجان شرقی,اهر,مرکزی,,10121010,1000015329
31,دهستان,اوچ هاچا,آذربایجان شرقی,اهر,مرکزی,,10121011,1000015337
32,دهستان,بزکش,آذربایجان شرقی,اهر,مرکزی,,10121012,1000015345
33,دهستان,گویجه بل,آذربایجان شرقی,اهر,مرکزی,,10121014,1000015360
34,دهستان,ورگهان,آذربایجان شرقی,اهر,مرکزی,,10121015,1000015378
35,شهر,اهر,آذربایجان شرقی,اهر,مرکزی,,101210500,1000041150
36,بخش,فندقلو,آذربایجان شرقی,اهر,,,101213,1000372639
37,دهستان,قشلاق,آذربایجان شرقی,اهر,فندقلو,,10121310,1000015352
38,دهستان,نقدوز,آذربایجان شرقی,اهر,فندقلو,,10121311,1000372613
39,شهرستان,سراب,آذربایجان شرقی,,,,1013,1000000362
40,بخش,مرکزی,آذربایجان شرقی,سراب,,,101310,1000004687
